REQUESTQty,SHIPDays,APROVEDQty,STOCKprice,AWARDprice,INVprice,BeginINV,ENDInv
5265,1,5265,4.07,2.31,3.1293,12162.15,16475.76
1054,2,1054,4.07,2.3727,3.192,2500.83,3364.37
1585,0,1585,3.86,2.4191,3.4484,3834.27,5465.71
3643,4,3643,3.888,2.2504,3.102,8198.21,11300.59
4755,1,4755,3.888,2.8089,3.772,13356.32,17935.86
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
9510,2,9510,2.98,2.8089,3.7799,26712.64,35946.85
2355,0,2355,2.98,2.8089,3.7799,6614.96,8901.66
32878,4,32878,3.888,2.1374,3.0087,70273.44,98920.04
9492,3,9492,3.888,2.0961,3.1624,19896.18,30017.5
3712,4,3712,3.12,2.31,3.2553,8574.72,12083.67
5242,0,5242,4.07,2.2112,3.0266,11591.11,15865.44
528,0,528,2.98,2.8089,3.8595,1483.1,2037.82
9548,1,9548,3.888,2.0953,2.9666,20005.92,28325.1
4755,0,4755,3.86,2.4191,3.5182,11502.82,16729.04
6340,0,6340,3.888,2.8089,3.6502,17808.43,23142.27
528,1,528,3.888,2.3411,3.3042,1236.1,1744.62
3170,1,3170,3.888,2.8089,3.8752,8904.21,12284.38
3643,3,3643,4.07,2.31,3.368,8415.33,12269.62
9510,0,9510,3.86,2.4191,3.4484,23005.64,32794.28
5283,2,5283,2.98,2.8089,3.8227,14839.42,20195.32
3698,1,3698,4.07,2.366,3.0905,8749.47,11428.67
3682,2,3682,3.888,2.108,3.0711,7761.66,11307.79
14166,1,14166,3.888,2.1374,2.9474,30278.41,41752.87
4734,2,4734,3.888,2.0953,3.0584,9919.15,14478.47
4733,1,4733,3.888,2.0953,3.0584,9917.05,14475.41
3706,1,3706,4.07,2.1852,2.8972,8098.35,10737.02
4222,1,4222,4.07,2.3808,3.0928,10051.74,13057.8
2113,2,2113,4.07,2.6441,3.7488,5586.98,7921.21
3170,0,3170,4.07,2.5517,3.2762,8088.89,10385.55
2114,0,2114,3.888,2.4544,3.3257,5188.6,7030.53
4227,1,4227,4.07,2.371,3.1903,10022.22,13485.4
4756,1,4756,3.888,2.1864,3.129,10398.52,14881.52
3160,1,3160,3.888,2.1856,3.1487,6906.5,9949.89
5269,3,5269,4.07,2.31,3.1293,12171.39,16488.28
5283,2,5283,4.07,2.371,3.0664,12525.99,16199.79
3698,2,3698,4.07,2.5517,3.2471,9436.19,12007.78
7925,0,7925,3.888,2.8089,3.7967,22260.53,30088.85
406,1,406,2.98,2.8089,3.8227,1140.41,1552.02
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
4735,0,4735,3.888,2.0953,3.0584,9921.25,14481.52
14097,2,14097,3.888,2.1374,2.989,30130.93,42135.93
5283,3,5283,4.07,2.371,3.0664,12525.99,16199.79
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
2113,0,2113,4.07,2.6441,3.709,5586.98,7837.12
1585,0,1585,3.86,2.4191,3.484,3834.27,5522.14
3698,3,3698,4.07,2.366,3.1853,8749.47,11779.24
3170,0,3170,3.888,2.8089,3.6502,8904.21,11571.13
9478,1,9478,3.888,2.0953,3.0584,19859.25,28987.52
3672,2,3672,3.888,2.1864,3.0277,8028.46,11117.71
4755,1,4755,3.86,2.4191,3.484,11502.82,16566.42
9510,1,9510,3.86,2.4191,3.484,23005.64,33132.84
4755,1,4755,3.86,2.4191,3.484,11502.82,16566.42
4755,0,4755,3.888,2.8089,3.772,13356.32,17935.86
4734,1,4734,3.888,2.0953,2.9366,9919.15,13901.86
3682,1,3682,3.888,2.1864,3.0277,8050.32,11147.99
14064,3,14064,3.888,2.1374,2.989,30060.39,42037.3
3643,2,3643,4.07,2.31,3.1497,8415.33,11474.36
3663,2,3663,4.07,2.31,3.3043,8461.53,12103.65
885,1,885,2.98,2.8089,4.0673,2485.88,3599.56
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
5228,2,5228,4.07,2.31,3.3201,12076.68,17357.48
3672,4,3672,4.07,2.31,3.1748,8482.32,11657.87
1578,1,1578,3.888,2.2504,3.2135,3551.13,5070.9
2104,1,2104,3.888,2.2504,3.2135,4734.84,6761.2
3698,0,3698,3.888,2.8089,3.6802,10387.31,13609.38
3698,0,3698,3.888,2.8089,3.6802,10387.31,13609.38
1849,0,1849,3.888,2.8089,3.6802,5193.66,6804.69
9496,3,9496,3.888,2.0961,3.0387,19904.57,28855.5
3693,2,3693,3.888,2.1864,3.129,8074.38,11555.4
2377,2,2377,3.888,2.8089,3.7515,6676.76,8917.32
1585,1,1585,3.888,2.8089,3.772,4452.11,5978.62
3148,1,3148,4.07,2.1954,3.1897,6911.12,10041.18
4764,1,4764,3.888,2.3955,3.4618,11412.16,16492.02
4755,0,4755,3.86,2.4191,3.5238,11502.82,16755.67
3170,0,3170,2.98,2.8089,3.8623,8904.21,12243.49
4227,1,4227,3.888,2.4835,3.4261,10497.75,14482.12
10490,3,10490,4.07,2.2112,3.2382,23195.49,33968.72
7397,2,7397,3.86,2.4191,3.5238,17894.08,26065.55
3710,5,3710,3.12,2.31,3.2553,8570.1,12077.16
3693,3,3693,3.888,2.1068,3.0494,7780.41,11261.43
5341,2,5341,4.07,2.2112,2.9232,11810.02,15612.81
6326,3,6326,4.07,2.1954,2.9074,13888.1,18392.21
1054,3,1054,4.07,2.3727,3.0847,2500.83,3251.27
9510,0,9510,3.86,2.4191,3.484,23005.64,33132.84
24832,0,24832,3.888,2.4544,3.3257,60947.66,82583.78
66136,4,66136,3.888,2.2955,3.2833,151815.19,217144.33
9464,1,9464,3.888,2.0953,3.1616,19829.92,29921.38
3694,0,3694,3.888,2.1771,3.2434,8042.21,11981.12
3668,5,3668,4.07,2.31,3.1748,8473.08,11645.17
4227,24,4227,4.51,2.6917,3.563,11377.82,15060.8
2642,0,2642,3.888,2.8089,3.7515,7421.11,9911.46
18972,2,18972,3.888,2.1374,3.1005,40550.75,58822.69
264,10,264,4.07,2.6441,3.7432,698.04,988.2
4755,2,4755,3.86,2.4191,3.5238,11502.82,16755.67
9510,2,9510,3.86,2.4191,3.5238,23005.64,33511.34
4755,2,4755,3.86,2.4191,3.5238,11502.82,16755.67
3698,0,3698,3.888,2.8089,3.8752,10387.31,14330.49
4491,0,4491,3.888,2.8089,3.7515,12614.77,16847.99
3698,0,3698,3.888,2.8089,3.7515,10387.31,13873.05
5300,2,5300,4.07,2.2112,3.2055,11719.36,16989.15
3708,3,3708,3.888,2.0916,2.9629,7755.65,10986.43
4225,0,4225,4.07,2.31,3.022,9759.75,12767.95
1056,0,1056,4.07,2.3727,3.0847,2505.57,3257.44
3696,0,3696,4.07,2.41,3.122,8907.36,11538.91
13743,0,13743,3.888,2.3955,3.4618,32921.36,47575.52
2377,32,2377,3.758,2.8089,3.6802,6676.76,8747.84
